"","QuadID","species","poros","rtd","frdmc","rdmc","rbranch","srl","agdmc","agbio","ldmc","sla","height","Replicate","Transect","Distance_m","plot","enclos","elev","DAYSUB","SUBN","FREQ","INTEN","d1","d2","d3","d4","r1","r2","r3","r4","nh4","no3","po4"
"1","Q1-3-0","LACstr",31.54,0.131,0.206,0.221,4.5,75.61,0.227,1.024,0.437,19.61434978,8.6,1,3,0,"R1T3",0,6.05e-07,253.25,33,28.03125,174.696101,0.982998126,0.012135779,0.002457488,0.002408607,"C 1 3 0","C 1 1 0","C 1 3 10","C 1 1 10",1.021613842,1.290668068,-3.840638094
"2","Q1-3-0","ELAacu",56.12,0.161,0.249,0.317,7.9,45.46,0.392,14.457,0.361,4.484468807,29.5,1,3,0,"R1T3",0,6.05e-07,253.25,33,28.03125,174.696101,0.982998126,0.012135779,0.002457488,0.002408607,"C 1 3 0","C 1 1 0","C 1 3 10","C 1 1 10",1.021613842,1.290668068,-3.840638094
"3","Q1-3-10","ELAacu",49.02,0.173,0.253,0.269,7.04,82.72,0.444,5.558,0.786,3.96954152,32.2,1,3,10,"R1T3",0,0,253.25,33,28.03125,174.6966534,0.982950079,0.012135186,0.002457368,0.002457368,"C 1 3 10","C 1 1 10","C 1 3 0","C 1 3 20",1.027521736,1.536921198,-4.502912183
"4","Q1-3-10","AMPflu",20.13,0.084,0.128,0.141,1.19,110.57,0.238,2.905,0.256,17.5210643,8.8,1,3,10,"R1T3",0,0,253.25,33,28.03125,174.6966534,0.982950079,0.012135186,0.002457368,0.002457368,"C 1 3 10","C 1 1 10","C 1 3 0","C 1 3 20",1.027521736,1.536921198,-4.502912183
"5","Q1-3-10","LACstr",16.07,0.113,0.321,0.321,5.65,84.85,0.232,0.854,0.485,15.52380952,0.9,1,3,10,"R1T3",0,0,253.25,33,28.03125,174.6966534,0.982950079,0.012135186,0.002457368,0.002457368,"C 1 3 10","C 1 1 10","C 1 3 0","C 1 3 20",1.027521736,1.536921198,-4.502912183
"6","Q1-3-12","AMPflu",15.09,0.158486293206198,0.242892156862745,0.068,2.17,74.680973871734,0.33933162,1.556,0.297,19.25242718,14.6,1,3,12,"R1T3",0,0.000721084,252.375,32,29.16129032,174.0389541,0.455549782,0.320140413,0.113895786,0.110414019,"C 1 3 10","C 1 1 10","C 1 3 20","C 1 1 20",0.959346466,2.888022862,-2.594516495
"7","Q1-3-12","CARova",25.17,0.149,0.244,0.283,0.94,49.51,0.315,5.496,0.381,9.753481894,27.4,1,3,12,"R1T3",0,0.000721084,252.375,32,29.16129032,174.0389541,0.455549782,0.320140413,0.113895786,0.110414019,"C 1 3 10","C 1 1 10","C 1 3 20","C 1 1 20",0.959346466,2.888022862,-2.594516495
"8","Q1-3-12","ELAacu",33.09,0.143,0.292,0.292,1.67,85.5,0.364,10.572,0.325,5.052673583,18,1,3,12,"R1T3",0,0.000721084,252.375,32,29.16129032,174.0389541,0.455549782,0.320140413,0.113895786,0.110414019,"C 1 3 10","C 1 1 10","C 1 3 20","C 1 1 20",0.959346466,2.888022862,-2.594516495
"9","Q1-3-14","ELAacu",40.24,0.143,0.304,0.304,2.31,97.95,0.373,2.316,0.343,4.502802242,29.9,1,3,14,"R1T3",0,0.034088188,240.5,24,43.43478261,144.2842997,0.313425508,0.279639187,0.208952606,0.197982699,"C 1 3 10","C 1 1 10","C 1 3 20","C 1 1 20",0.921091317,3.380523195,-2.133076337
"10","Q1-3-14","LAClya",27.11,0.112,0.221,0.302,7.56,149.34,0.409,0.509,0.289,21.49090909,13.6,1,3,14,"R1T3",0,0.034088188,240.5,24,43.43478261,144.2842997,0.313425508,0.279639187,0.208952606,0.197982699,"C 1 3 10","C 1 1 10","C 1 3 20","C 1 1 20",0.921091317,3.380523195,-2.133076337
"11","Q1-3-16","ELAacu",42.86,0.145,0.255,0.255,10.52,77.1,0.372,5.941,0.338,5.442767296,24,1,3,16,"R1T3",0,0.104252133,177,18,83.72222222,98.15647713,0.313425508,0.279639187,0.208952606,0.197982699,"C 1 3 20","C 1 1 20","C 1 3 10","C 1 1 10",0.879161136,3.731491414,-1.817552144
"12","Q1-3-16","CARgau",7.11,0.281,0.332,0.332,6.95,28.21,0.622,0.444,0.457,9.994241843,10.1,1,3,16,"R1T3",0,0.104252133,177,18,83.72222222,98.15647713,0.313425508,0.279639187,0.208952606,0.197982699,"C 1 3 20","C 1 1 20","C 1 3 10","C 1 1 10",0.879161136,3.731491414,-1.817552144
